index,host,source,sourcetype,"_raw"
mssharepoint,"SP10-WEB01",WinRegistry,WinRegistry,"2013-09-10T09:12:39-07:00 
registry_type=""baseline"" 
key_path=""\\REGISTRY\\MACHINE\\SYSTEM\\CURRENTCONTROLSET\\SERVICES\\TCPIP\\PARAMETERS\\INTERFACES\\{799EF9BB-FCC6-44D9-BAB1-691CCC8B89AA}\\IPAddress""
data_type=""REG_SZ"" 
data=""10.160.203.52"""
mssharepoint,"SP10-WEB01",processor,WinHostMon,"2013-09-10T09:12:39-07:00
Type=Processor 
Name=""Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz"" 
Manufacturer=""GenuineIntel"" 
Architecture=""x64"" 
ClockSpeedMHz=2000 
NumberOfCores=2 
NumberOfProcessors= 
Processor Id=""1FABFBFF000006D7"""
mssharepoint,"SP10-WEB01",operatingsystem,WinHostMon,"2013-09-10T09:12:39-07:00
Type=OperatingSystem 
OS=""Microsoft Windows Server 2012 Standard"" 
Architecture=""64-bit"" 
Version=""6.2.9200"" 
BuildNumber=""9200"" 
BuildType=""Multiprocessor Free"" 
ServicePack=""RTM"" 
SerialNumber=""00477-179-0000007-84016"" 
ComputerName=""SP10-WEB01"" 
InstallDate=""20131114215829.000000-480"" 
LastBootUpTime=""20131119230636.472320-480"" 
Locale=""0409"" 
TotalPhysicalMemoryKB=""16776696"" 
FreePhysicalMemoryKB=""14325860"" 
TotalVirtualMemoryKB=""33551528"" 
FreeVirtualMemoryKB=""29505108"" 
Status=""OK"" 
CodeSet=""1252"" 
CountryCode=""1"" 
SystemDevice=""\Device\HarddiskVolume2"" 
SystemDrive=""C:"" 
SystemDirectory=""C:\Windows\system32"""
mssharepoint,"SP10-WEB01",networkadapter,WinHostMon,"2013-09-10T09:12:39-07:00
Type=NetworkAdapter 
Name=""Intel(R) PRO/1000 MT Network Connection"" 
Manufacturer=""Intel"" 
ProductName=""Intel(R) PRO/1000 MT Network Connection"" 
Status=""""
MACAddress=""00:50:56:80:E1:FE"""
mssharepoint,"SP10-WEB01",computer,WinHostMon,"2013-09-10T09:12:39-07:00
Type=Computer 
Name=""SP10-WEB01"" 
Domain=""splk.com"" 
Manufacturer=""VMware, Inc."" 
Model=""VMware Virtual Platform"" 
Status=""OK"" 
System Type=""x64-based PC"""
